,att_bonus_wgt,att_chance_wgt,att_conqc_wgt,att_cutoff,att_cutoff_win,att_mission_wgt,att_narmies_wgt,ft_avantage_wgt,ft_bonus_wgt,ft_min_wgt,ft_mission_wgt,ft_narmies_wgt,ft_tvantage_wgt,mis_base_wgt,mis_cont_wgt,mis_extr_wgt,mis_play_wgt,mis_terr_wgt,re_avantage_wgt,re_dbonus_wgt,re_ibonus_wgt,re_mission_wgt,re_tvantage_wgt,turn_in_cutoff,iteration
0,-1.81,-5.23,4.0,8.0,-17.1,1,2.03,-18.65,-17.13,-24.66,-24.66,1,12.82,-23.9,2.13,-22.4,1,-16.2,-7.33,23.24,-6.44,1,-2.94,8,0
1,-7.54,-4.52,1.03,0.4,13.2,1,7.17,9.36,3.03,12.73,0.2,1,8.8,15.08,4.3,24.12,1,10.2,-5.33,7.21,-18.95,1,19.62,10,0
2,-14.24,-10.14,16.65,16.5,-16.1,1,6.18,-16.94,-23.56,-13.46,21.65,0,-6.09,6.38,21.38,-19.74,0,24.7,-17.63,-7.78,6.04,1,23.86,8,0
3,-10.26,-23.48,11.75,14.3,-22.1,-1,22.89,-6.41,-15.76,4.8,2.25,1,-14.35,-22.17,-3.62,14.49,0,-1.83,-10.72,7.92,21.55,1,20.44,6,0
4,18.97,-14.99,-17.44,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
5,3.41,-14.25,5.78,2.9,3.3,1,14.13,4.25,16.26,-20.3,15.01,0,-23.43,18.82,18.67,15.94,1,15.66,-22.62,-7.23,-2.47,0,-6.39,6,0
6,7.34,-14.99,13.8,-12.5,-11.9,1,3.41,-19.83,21.26,11.08,-22.69,0,-17.5,18.34,-9.61,-17.65,1,-11.57,-6.09,0.67,-10.09,0,24.61,10,0
7,10.65,-7.93,24.3,8.0,-24.9,1,6.83,-11.85,11.27,-5.45,-14.05,1,-23.52,15.27,13.38,13.74,0,0.8,-17.2,-18.58,-23.74,1,14.58,6,0
8,-24.86,-19.3,12.27,5.7,-0.9,1,20.48,-14.17,-16.86,-6.11,-2.22,1,-12.07,-0.87,19.41,10.6,1,22.46,-12.75,-13.05,-22.25,1,-9.87,8,0
9,11.64,1.64,6.17,-0.9,-17.5,0,16.78,-8.89,-19.93,16.59,9.27,-1,-6.69,-21.07,5.64,17.1,1,22.49,-0.14,-13.42,-3.01,-1,17.11,4,0
10,-24.23,20.21,-4.9,4.1,16.2,1,12.48,23.44,-6.35,-3.9,-22.5,1,16.73,22.32,2.23,-0.43,1,10.58,6.05,15.79,-22.38,-1,14.81,10,0
11,18.97,-14.99,-17.39,6.3,0.7,1,12.21,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
12,3.45,-14.25,23.25,-2.9,3.3,1,14.13,3.34,-5.61,17.89,15.01,0,-22.88,18.82,18.67,-24.85,0,15.66,-9.63,6.19,-15.61,0,21.21,6,0
13,-14.24,-10.14,17.01,1.7,-16.1,1,6.18,-16.94,-18.38,3.87,23.88,0,-6.09,6.38,24.92,-19.74,0,-2.88,-0.45,-7.78,6.02,1,-1.89,4,0
14,12.42,-16.29,-1.91,1.9,19.5,0,22.68,0.0,-13.76,-0.09,-21.64,1,-11.89,-0.07,15.73,13.37,0,0.72,-3.95,-14.24,-1.39,0,23.32,10,0
15,18.4,-15.22,16.2,20.0,-20.5,-1,8.88,16.18,-20.71,23.85,22.78,0,2.44,4.56,-2.47,23.9,0,17.07,3.97,8.55,-21.72,-1,14.47,8,0
16,18.93,-14.99,-17.39,6.3,0.7,1,12.06,19.05,3.86,11.08,-22.69,1,-24.27,-2.25,4.25,-0.75,1,18.95,-18.17,-18.7,2.73,1,24.61,4,0
17,-6.67,-16.23,23.25,-2.9,8.6,0,16.1,3.34,-5.61,17.89,-24.8,0,-22.88,23.09,12.62,-24.85,0,-4.34,-9.63,6.19,-15.61,0,21.21,6,0
18,24.08,16.51,-19.47,4.0,-12.8,-1,13.83,21.33,-2.85,-13.49,-13.54,-1,4.91,-3.38,-11.79,2.21,0,-7.37,1.72,-21.49,21.44,0,2.83,8,0
19,-24.65,-23.48,12.95,13.2,-11.5,-1,7.86,-11.97,-22.28,2.96,-8.01,1,-17.15,-22.17,18.11,5.67,1,-1.83,-7.01,-19.56,23.01,0,20.44,10,0
20,-3.11,-9.17,-0.19,11.0,-2.5,-1,17.23,-14.36,-2.84,3.47,12.15,1,-4.58,-3.4,2.86,-24.85,1,0.36,-2.19,19.42,0.96,-1,17.62,8,0
21,19.78,-4.63,19.95,12.6,-0.5,-1,19.62,19.91,14.57,-21.52,6.74,0,-22.94,7.81,18.82,-7.15,1,-14.5,-2.65,-20.64,-24.82,0,16.81,6,0
22,13.45,18.72,18.2,-24.6,-11.5,0,11.99,-21.95,-23.85,-6.74,7.64,-1,-18.15,13.06,19.6,23.46,1,11.57,-14.27,-19.68,-19.1,-1,23.68,4,0
23,15.88,7.53,13.47,-20.6,-17.7,-1,12.67,6.94,0.22,-20.87,-4.46,-1,-11.92,18.95,-22.0,-23.48,0,7.69,-19.79,-24.18,6.26,1,14.4,4,0
